epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,747.732,0.70144,1.31773,0.73179,1.09627,0.79201,0.1273,0.13375,0.11437,0.86688,0.12588,0.13362,0.11006,0.91837,2.25118,0.97954,1.04056,0.00109697,0.00109697,0.00109697
61,760.34,0.72096,1.33768,0.74961,1.11871,0.90524,0.11881,0.13061,0.11213,0.80792,0.12306,0.13275,0.1097,0.92384,2.15691,0.99806,1.03995,0.00107216,0.00107216,0.00107216
62,772.7,0.72237,1.52198,0.75738,1.11168,0.81432,0.1273,0.13221,0.11211,0.81432,0.1273,0.13191,0.10918,0.88941,2.26791,1.0553,1.04047,0.00104731,0.00104731,0.00104731
63,785.11,0.70764,1.38431,0.7656,1.11372,0.7595,0.1273,0.13339,0.11532,0.7595,0.1273,0.13406,0.11229,0.87914,2.28961,0.97693,1.03943,0.00102244,0.00102244,0.00102244
64,797.588,0.71188,1.38518,0.75492,1.10057,0.81623,0.12306,0.12634,0.10974,0.82561,0.12447,0.1301,0.10661,0.87273,2.29154,1.07543,1.03578,0.00099756,0.00099756,0.00099756
65,809.907,0.68426,1.30395,0.71626,1.09056,0.75929,0.12047,0.13118,0.11033,0.77791,0.12306,0.13078,0.10439,0.94649,2.2907,0.98981,1.08235,0.000972687,0.000972687,0.000972687
66,822.489,0.69584,1.31266,0.73101,1.11083,0.71847,0.13013,0.1367,0.11391,0.72079,0.13145,0.13623,0.11112,0.89532,2.22548,0.95473,1.06274,0.000947837,0.000947837,0.000947837
67,834.803,0.71457,1.36239,0.75397,1.11167,0.74077,0.12164,0.12991,0.10842,0.66881,0.1273,0.13369,0.10649,0.9642,2.29114,1.08407,1.15502,0.000923027,0.000923027,0.000923027
68,847.641,0.66416,1.23376,0.7314,1.09705,0.83097,0.12447,0.13336,0.11153,0.84052,0.12588,0.13498,0.10929,0.87803,2.21441,1.02472,1.07163,0.000898272,0.000898272,0.000898272
69,860.09,0.65848,1.30944,0.70556,1.07243,0.75527,0.12588,0.13252,0.10903,0.75199,0.13013,0.1363,0.10821,0.93657,2.27417,1.00841,1.12182,0.000873588,0.000873588,0.000873588
70,872.274,0.68576,1.38298,0.70542,1.08829,0.78519,0.12871,0.13761,0.11528,0.79721,0.12871,0.13695,0.11233,0.95663,2.26157,0.92765,1.13828,0.000848989,0.000848989,0.000848989
71,884.937,0.66607,1.26427,0.72607,1.07358,0.74435,0.12871,0.13629,0.11123,0.73528,0.12965,0.13577,0.10956,0.92569,2.25272,0.97216,1.09843,0.000824492,0.000824492,0.000824492
72,897.281,0.68089,1.34487,0.71743,1.10641,0.77549,0.1273,0.13473,0.11372,0.78411,0.12871,0.13646,0.11135,0.91573,2.18792,0.91779,1.08839,0.000800113,0.000800113,0.000800113
73,909.632,0.65451,1.24545,0.69192,1.07484,0.86181,0.12588,0.13474,0.11502,0.81679,0.12612,0.13549,0.10894,0.90781,2.17529,0.98729,1.06255,0.000775866,0.000775866,0.000775866
74,922.239,0.63388,1.24713,0.69771,1.05472,0.8512,0.12947,0.13831,0.11667,0.81855,0.13013,0.13808,0.11147,0.90871,2.30434,0.91919,1.06668,0.000751767,0.000751767,0.000751767
75,934.466,0.67274,1.2789,0.69626,1.09274,0.86217,0.1273,0.13002,0.1124,0.86217,0.1273,0.13318,0.11022,0.90328,2.16765,1.03153,1.04795,0.000727831,0.000727831,0.000727831
76,946.999,0.65575,1.27261,0.71436,1.07603,0.79776,0.12447,0.1298,0.10838,0.77013,0.12588,0.13374,0.10392,0.95832,2.27414,1.02214,1.15539,0.000704073,0.000704073,0.000704073
77,959.265,0.66822,1.30955,0.71117,1.09086,0.8374,0.12588,0.13384,0.11215,0.85847,0.12588,0.13378,0.10726,0.92678,2.21426,0.89592,1.12761,0.000680509,0.000680509,0.000680509
