epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,1336.58,0.57582,1.17388,0.59458,1.02044,0.80672,0.16727,0.17737,0.1447,0.85894,0.16182,0.17246,0.14574,0.83703,2.34887,0.99202,1.07327,0.00040016,0.00040016,0.00040016
103,1349.39,0.54738,1.05138,0.52933,1.0193,0.78132,0.17091,0.17937,0.14568,0.81272,0.16364,0.17385,0.14783,0.8607,2.31257,0.96046,1.10998,0.00038432,0.00038432,0.00038432
104,1362.86,0.61522,1.27273,0.59318,1.04218,0.77055,0.17091,0.1752,0.14453,0.75416,0.16727,0.17189,0.14277,0.89269,2.47639,1.0196,1.16947,0.00036848,0.00036848,0.00036848
105,1375.91,0.5924,1.22767,0.59775,1.01552,0.7803,0.16909,0.17587,0.1402,0.77191,0.16727,0.17146,0.1394,0.91564,2.45604,1.01488,1.20598,0.00035264,0.00035264,0.00035264
106,1388.95,0.57563,1.13695,0.5742,1.02677,0.77423,0.16727,0.1706,0.14112,0.76582,0.16545,0.16798,0.14042,0.85455,2.35021,0.95205,1.13543,0.0003368,0.0003368,0.0003368
107,1402.12,0.57723,1.25016,0.57397,1.00613,0.78463,0.16727,0.17585,0.14133,0.7761,0.16545,0.17073,0.13998,0.84846,2.32913,0.92563,1.12713,0.00032096,0.00032096,0.00032096
108,1415.11,0.62,1.32781,0.61252,1.02295,0.8215,0.17091,0.17891,0.14107,0.79528,0.16545,0.17316,0.1431,0.86149,2.38262,0.96496,1.1153,0.00030512,0.00030512,0.00030512
109,1428.11,0.57213,1.11998,0.5848,1.01559,0.80812,0.17273,0.17708,0.14233,0.78144,0.16727,0.17078,0.14003,0.83657,2.4038,0.96833,1.08417,0.00028928,0.00028928,0.00028928
110,1441.23,0.57728,1.1366,0.57238,1.01229,0.80945,0.16364,0.17285,0.14217,0.80034,0.16182,0.16785,0.14103,0.82267,2.4032,0.99983,1.08189,0.00027344,0.00027344,0.00027344
111,1454.23,0.56341,1.12558,0.57235,1.03049,0.82805,0.16727,0.17388,0.1429,0.81005,0.16364,0.16832,0.14378,0.83752,2.40808,0.99986,1.10634,0.0002576,0.0002576,0.0002576
112,1467.4,0.58205,1.14198,0.56108,1.02949,0.82457,0.16727,0.17418,0.14467,0.80647,0.16364,0.16683,0.14576,0.82341,2.35383,0.9499,1.09558,0.00024176,0.00024176,0.00024176
113,1480.3,0.58523,1.14317,0.56721,1.01605,0.87669,0.16364,0.17616,0.14918,0.77069,0.16545,0.17097,0.14807,0.81859,2.37826,0.95847,1.08475,0.00022592,0.00022592,0.00022592
114,1493.56,0.57918,1.16963,0.57129,1.02117,0.84378,0.16545,0.17563,0.14699,0.74635,0.16727,0.16848,0.14766,0.82844,2.44799,0.98394,1.09182,0.00021008,0.00021008,0.00021008
115,1506.33,0.56091,1.1457,0.56334,1.0027,0.80664,0.16727,0.1751,0.14451,0.78911,0.16364,0.16922,0.14668,0.81019,2.41672,0.9924,1.07011,0.00019424,0.00019424,0.00019424
116,1521.23,0.52498,1.2487,0.5305,1.04169,0.76907,0.16909,0.17711,0.14534,0.84902,0.16359,0.17132,0.14716,0.83444,2.42717,0.96409,1.08965,0.0001784,0.0001784,0.0001784
117,1533.94,0.46482,1.23267,0.43344,0.99427,0.85327,0.16727,0.17791,0.14458,0.844,0.16545,0.17474,0.14697,0.83832,2.45477,0.94821,1.1207,0.00016256,0.00016256,0.00016256
118,1546.63,0.47996,1.30043,0.43305,1.0028,0.87763,0.16727,0.17844,0.14829,0.85689,0.16545,0.17364,0.14852,0.79411,2.501,0.9271,1.0759,0.00014672,0.00014672,0.00014672
119,1559.69,0.452,1.22314,0.39423,0.98446,0.85531,0.16909,0.17771,0.15046,0.85531,0.16909,0.17629,0.15093,0.78555,2.54627,0.94824,1.04361,0.00013088,0.00013088,0.00013088
120,1572.38,0.46508,1.23505,0.40931,0.99609,0.86645,0.16909,0.17926,0.14827,0.85713,0.16727,0.17449,0.15023,0.79442,2.55868,0.9426,1.06303,0.00011504,0.00011504,0.00011504
121,1584.9,0.43116,1.1121,0.38498,0.99398,0.89511,0.16727,0.17999,0.14834,0.7899,0.16909,0.17605,0.14952,0.79342,2.56258,0.93285,1.06327,9.92e-05,9.92e-05,9.92e-05
122,1597.55,0.44897,1.20059,0.40761,0.9868,0.88382,0.16727,0.17869,0.14779,0.87421,0.16545,0.17667,0.14979,0.80637,2.50558,0.93902,1.07995,8.336e-05,8.336e-05,8.336e-05
123,1610.15,0.44602,1.19349,0.39412,0.98437,0.87225,0.16727,0.17919,0.14676,0.86277,0.16545,0.17364,0.14953,0.81864,2.49016,0.96735,1.09829,6.752e-05,6.752e-05,6.752e-05
124,1622.81,0.44466,1.17468,0.38218,0.98625,0.91341,0.16545,0.17859,0.14673,0.90338,0.16364,0.17455,0.15021,0.82389,2.47384,0.9669,1.107,5.168e-05,5.168e-05,5.168e-05
125,1635.33,0.43868,1.20692,0.38439,0.98063,0.92003,0.16545,0.17822,0.14736,0.90675,0.16364,0.17455,0.1509,0.83241,2.4676,0.96469,1.11324,3.584e-05,3.584e-05,3.584e-05
